    0.182677061202844982E+03    0.752266441468407088E+01    0.167978587171937477E+00    0.109969850882301728E+03    0.978167558851755325E+00   -0.488569583098619802E+02
    0.173652518989558473E+03    0.727356551243327143E+01   -0.196469101167762172E+00    0.107938973439821837E+03    0.123164846159161945E+01   -0.474739762862539507E+02
    0.189253394137530279E+03    0.765452345438054316E+01   -0.177386431174075376E+00    0.103478501918746531E+03    0.918562659781159807E+00   -0.467851871668798651E+02
    0.183805643871987741E+03    0.752785871241314108E+01   -0.160965353445059911E+00    0.107425184323464308E+03    0.740251086767712119E+00   -0.455007688723692212E+02
    0.183005080377803495E+03    0.748906397850460070E+01   -0.145193050863308137E+00    0.113407607059243489E+03    0.781023664609997281E+00   -0.450508700099218444E+02
    0.179373360482091186E+03    0.738924502432053210E+01    0.460190514679870155E-01    0.123024721116653978E+03    0.109240383772335514E+01   -0.446862224859154367E+02
    0.179665289424618777E+03    0.743013707955592118E+01   -0.248110791027387201E-01    0.109266021636692315E+03    0.129619076742832773E+01   -0.446391754673757362E+02
    0.175977749995730306E+03    0.734378097218374215E+01   -0.269880068415622176E-01    0.112275021487380329E+03    0.117143162838340564E+01   -0.441934084152431907E+02
    0.175475826885385089E+03    0.733907408299312181E+01   -0.112437510303562416E+00    0.107232433369194112E+03    0.113659074924837800E+01   -0.437487625986994857E+02
    0.185138140617652510E+03    0.750334173424005080E+01   -0.127678332765288616E+00    0.117351576829058942E+03    0.117988851314461907E+01   -0.435185325271353634E+02
    0.177498443691578046E+03    0.730751168566234366E+01   -0.183019278994804857E+00    0.123800639246030485E+03    0.109152237219653214E+01   -0.434483738645605655E+02
    0.174142518069776600E+03    0.729907675585000870E+01   -0.115924466199573306E+00    0.109358946220465043E+03    0.106568076489034547E+01   -0.434452398299075071E+02
    0.188535355503067990E+03    0.762884593413966172E+01    0.194660694904040810E-01    0.106473704138272993E+03    0.127060423853303872E+01   -0.434290137533733471E+02
    0.186664514327153626E+03    0.758432395474490839E+01    0.620285164677536471E-02    0.113211281834335637E+03    0.102146972667545821E+01   -0.431731141770127067E+02
    0.182249541593408594E+03    0.749537911929682821E+01   -0.948696560057680216E-01    0.109601180672428441E+03    0.835332372719712390E+00   -0.431288954073654622E+02
    0.187028077155990388E+03    0.756968866234214666E+01   -0.596271715475471531E-01    0.115064677187882282E+03    0.934380205040852063E+00   -0.430976466817586825E+02
    0.186252565959919423E+03    0.755126980603379572E+01   -0.169860173912188994E+00    0.107836441191258615E+03    0.133778372331291173E+01   -0.430403814720907718E+02
    0.188717712670316047E+03    0.765179678470002500E+01    0.866844037977685389E-01    0.108754718591252541E+03    0.101544800561127957E+01   -0.429471378439314506E+02
    0.179216229903387074E+03    0.743359061103215080E+01   -0.766993894911238705E-01    0.103906504141199548E+03    0.115862212463110281E+01   -0.427655812459880664E+02
    0.187397320711643971E+03    0.762307233963243291E+01    0.128762243479840777E-02    0.108125090730749903E+03    0.888484102467280046E+00   -0.427465855853130776E+02
    0.185812081625534546E+03    0.753068836936571273E+01   -0.761198998634511348E-01    0.112467216343752426E+03    0.112735000034025434E+01   -0.427325591348119218E+02
    0.178390269985370168E+03    0.737125715907018453E+01   -0.186339157864333638E+00    0.109307526725254718E+03    0.106598783815147202E+01   -0.427294913947094201E+02
    0.178167506057976510E+03    0.732388207266343993E+01   -0.210075600313814448E+00    0.119467873681018034E+03    0.107296241080404631E+01   -0.426986353649471440E+02
    0.175626800541320591E+03    0.727086326451440890E+01   -0.199482724718194948E+00    0.120417863795380768E+03    0.112455554697632332E+01   -0.426924224468689957E+02
    0.177656947651342364E+03    0.739507229357946461E+01   -0.118472471031403348E+00    0.104618198751581616E+03    0.111582586508043780E+01   -0.426161496203772217E+02
